## take reference from DESI's, modified for JUST
# Echo 22 focal plane parameters calculated from model in DESI-4037v6.							
# The plate scale varies with radius, and is different in the							
# meridional (radial) direction vs. the							
# sagittal (tangential/azimuthal) direction.  The table below							
# contains the F/#, Focal Length, and Plate Scale vs. radius for							
# both the meridional and sagittal orientations at that radius.							
							
# Columns:							
# - Radius : radius from center of focal plane [mm]							
# - Theta radial angle that has a centroid at this radius [deg]							
# - MF/# : Meridional F/#							
# - SF/# : Sagittal F/#							
# - MFL  : Meridional focal length [m]							
# - SFL  : Sagittal focal length [m]							
# - MPS  : Meridional plate scale [um/arcsec]							
# - SPS  : Sagittal plate scale [um/arcsec]							
# Radius	Theta	MF/#	SF/#	MFL	SFL	MPS	SPS
90.002677325    0.194789901    5.516773405    5.515321007    26.480512344    26.473540836    128.381026079    128.347227285
90.964554760    0.196864541    5.516988575    5.515520479    26.481545161    26.474498298    128.386033312    128.351869185
91.926572228    0.198939250    5.517206122    5.515722308    26.482589387    26.475467076    128.391095859    128.356565953
92.888731215    0.201014027    5.517426050    5.515926497    26.483645039    26.476447184    128.396213796    128.361317643
93.851033213    0.203088872    5.517648361    5.516133049    26.484712130    26.477438634    128.401387198    128.366124326
94.813479718    0.205163787    5.517873058    5.516341967    26.485790678    26.478441443    128.406616141    128.370986078
95.776072213    0.207238772    5.518100145    5.516553256    26.486880698    26.479455628    128.411900702    128.375902977
96.738812203    0.209313827    5.518329626    5.516766917    26.487982206    26.480481203    128.417240956    128.380875103
97.701701173    0.211388952    5.518561504    5.516982955    26.489095217    26.481518186    128.422636982    128.385902532
98.664578295    0.213463799    5.518795741    5.517201336    26.490219557    26.482566414    128.428087932    128.390984484
99.627768858    0.215539065    5.519032421    5.517422137    26.491355621    26.483626258    128.433595719    128.396122745
100.590916253    0.217613979    5.519271459    5.517645279    26.492503001    26.484697338    128.439158368    128.401315483
101.554414475    0.219689387    5.519512954    5.517870856    26.493662181    26.485780108    128.444778227    128.406564894
102.518069185    0.221764868    5.519756864    5.518098827    26.494832945    26.486874367    128.450454247    128.411870008
103.481881880    0.223840422    5.520003190    5.518329194    26.496015310    26.487980133    128.456186510    128.417230906
104.445854068    0.225916050    5.520251936    5.518561963    26.497209293    26.489097422    128.461975094    128.422647670
105.409987243    0.227991751    5.520503106    5.518797135    26.498414909    26.490226250    128.467820080    128.428120381
106.374282898    0.230067526    5.520756703    5.519034716    26.499632175    26.491366636    128.473721548    128.433649121
107.338742540    0.232143376    5.521012731    5.519274707    26.500861109    26.492518595    128.479679580    128.439233972
108.303367665    0.234219301    5.521271193    5.519517114    26.502101726    26.493682146    128.485694257    128.444875019
109.268159783    0.236295301    5.521532093    5.519761938    26.503354044    26.494857304    128.491765661    128.450572343
110.233120388    0.238371376    5.521795433    5.520009185    26.504618080    26.496044089    128.497893873    128.456326030
111.198250985    0.240447528    5.522061219    5.520258857    26.505893850    26.497242516    128.504078978    128.462136162
112.163553083    0.242523756    5.522329453    5.520510959    26.507181373    26.498452603    128.510321057    128.468002825
113.129028175    0.244600060    5.522600138    5.520765493    26.508480664    26.499674368    128.516620194    128.473926104
114.094677778    0.246676442    5.522873280    5.521022464    26.509791742    26.500907828    128.522976472    128.479906083
115.060503385    0.248752900    5.523148880    5.521281875    26.511114624    26.502153002    128.529389977    128.485942849
116.026495295    0.250829413    5.523426940    5.521543727    26.512449311    26.503409891    128.535860718    128.492036416
116.992677713    0.252906028    5.523707469    5.521808030    26.513795853    26.504678545    128.542388931    128.498187015
117.959040668    0.254982721    5.523990469    5.522074784    26.515154251    26.505958965    128.548974625    128.504394660
118.925585668    0.257059493    5.524275942    5.522343994    26.516524523    26.507251169    128.555617887    128.510659439
119.892314215    0.259136343    5.524563893    5.522615662    26.517906688    26.508555177    128.562318802    128.516981440
120.859227833    0.261213273    5.524854325    5.522889793    26.519300762    26.509871005    128.569077457    128.523360750
121.826328023    0.263290282    5.525147242    5.523166390    26.520706764    26.511198673    128.575893940    128.529797459
122.793616300    0.265367372    5.525442648    5.523445458    26.522124711    26.512538198    128.582768338    128.536291655
123.761094175    0.267444541    5.525740546    5.523727000    26.523554623    26.513889600    128.589700739    128.542843429
124.728763163    0.269521790    5.526040941    5.524011020    26.524996517    26.515252896    128.596691231    128.549452869
125.696624775    0.271599120    5.526343836    5.524297522    26.526450411    26.516628105    128.603739904    128.556120066
126.664680530    0.273676531    5.526649234    5.524586510    26.527916325    26.518015247    128.610846846    128.562845111
127.632931940    0.275754023    5.526957141    5.524877987    26.529394275    26.519414339    128.618012146    128.569628096
128.601380515    0.277831597    5.527267559    5.525171959    26.530884282    26.520825401    128.625235896    128.576469110
129.570027785    0.279909252    5.527580492    5.525468427    26.532386364    26.522248452    128.632518185    128.583368248
130.538875260    0.281986989    5.527895945    5.525767398    26.533900538    26.523683510    128.639859105    128.590325600
131.507924463    0.284064808    5.528213922    5.526068874    26.535426825    26.525130595    128.647258747    128.597341261
132.477176905    0.286142709    5.528534426    5.526372860    26.536965244    26.526589726    128.654717202    128.604415322
133.446634120    0.288220693    5.528857461    5.526679359    26.538515812    26.528060923    128.662234563    128.611547879
134.416297620    0.290298760    5.529183031    5.526988376    26.540078550    26.529544205    128.669810922    128.618739025
135.386168925    0.292376910    5.529511141    5.527299915    26.541653476    26.531039591    128.677446373    128.625988854
136.356249563    0.294455143    5.529841794    5.527613979    26.543240610    26.532547101    128.685141009    128.633297462
137.326541058    0.296533459    5.530174994    5.527930574    26.544839971    26.534066755    128.692894923    128.640664943
138.297044938    0.298611860    5.530510746    5.528249702    26.546451579    26.535598572    128.700708211    128.648091395
139.267603908    0.300690004    5.530848997    5.528571316    26.548075187    26.537142319    128.708579675    128.655575685
140.238536945    0.302768571    5.531189864    5.528895525    26.549711346    26.538698521    128.716511994    128.663120361
141.209686958    0.304847223    5.531533295    5.529222281    26.551359816    26.540266950    128.724503995    128.670724309
142.181055483    0.306925960    5.531879296    5.529551589    26.553020620    26.541847625    128.732555788    128.678387632
143.152644053    0.309004781    5.532227870    5.529883452    26.554693778    26.543440569    128.740667483    128.686110435
144.124454193    0.311083687    5.532579024    5.530217876    26.556379316    26.545045803    128.748839192    128.693892822
145.096487435    0.313162677    5.532932761    5.530554864    26.558077255    26.546663349    128.757071024    128.701734897
146.068745313    0.315241753    5.533289087    5.530894422    26.559787618    26.548293228    128.765363093    128.709636768
147.041229363    0.317320913    5.533648006    5.531236555    26.561510430    26.549935462    128.773715510    128.717598538
148.013941118    0.319400159    5.534009523    5.531581265    26.563245712    26.551590074    128.782128388    128.725620315
148.986882110    0.321479491    5.534373643    5.531928560    26.564993488    26.553257086    128.790601839    128.733702206
149.960053883    0.323558908    5.534740371    5.532278441    26.566753782    26.554936518    128.799135978    128.741844318
150.933457963    0.325638410    5.535109712    5.532630916    26.568526618    26.556628395    128.807730918    128.750046759
151.907095903    0.327717999    5.535481670    5.532985987    26.570312018    26.558332737    128.816386773    128.758309636
152.880969230    0.329797673    5.535856251    5.533343660    26.572110006    26.560049568    128.825103659    128.766633059
153.855079490    0.331877433    5.536233460    5.533703940    26.573920607    26.561778910    128.833881692    128.775017137
154.829428225    0.333957279    5.536613301    5.534066830    26.575743844    26.563520785    128.842720986    128.783461979
155.804016978    0.336037211    5.536995779    5.534432337    26.577579741    26.565275217    128.851621659    128.791967696
156.778847295    0.338117229    5.537380901    5.534800464    26.579428323    26.567042228    128.860583827    128.800534398
157.753920718    0.340197334    5.537768669    5.535171217    26.581289613    26.568821840    128.869607608    128.809162196
158.729238790    0.342277524    5.538159091    5.535544600    26.583163636    26.570614078    128.878693119    128.817851201
159.704803063    0.344357802    5.538552170    5.535920617    26.585050416    26.572418964    128.887840479    128.826601526
